,director_name,profit_millions,VAR
50,Francis Lawrence,151.10039999999998,8.701079103904165
3,Andrew Adamson,130.61169999999998,7.5212423897977745
74,Jon Favreau,109.91162857142857,6.329233904337336
30,Christopher Nolan,101.02844999999999,5.817698266813501
66,Jay Roach,91.7892142857143,5.285659166919547
160,Todd Phillips,83.10800000000002,4.78575359275864
121,Peter Jackson,82.08366363636364,4.726767437003885
63,James Wan,73.46802857142859,4.23063822602648
145,Sam Raimi,70.1654,4.04045717785709
16,Bill Condon,59.215816666666676,3.4099281340019845
161,Tom Shadyac,58.8538,3.389081493929566
64,Jason Reitman,58.125633333333326,3.347150196808626
158,Tim Story,57.61686666666666,3.317852994338637
78,Judd Apatow,57.26472,3.297574715771255
27,Catherine Hardwicke,50.21293333333333,2.891499327416735
157,Tim Hill,49.980475,2.8781132718755513
98,Michael Bay,49.78628333333334,2.866930792855075
35,Darren Lynn Bousman,49.521474999999995,2.8516818705775266
89,M. Night Shyamalan,49.39962222222222,2.8446650085541645
100,Michael Moore,48.61793333333333,2.7996516475249074
109,Nicholas Stoller,45.967575,2.6470314194379863
154,Steven Spielberg,45.25901333333333,2.60622907138556
9,Anne Fletcher,44.1261,2.540990537727138
41,David O. Russell,42.507099999999994,2.447760823780511
163,Tyler Perry,41.556266666666666,2.3930073218178283
106,Nancy Meyers,40.719820000000006,2.344840747719655
28,Chris Columbus,40.520100000000006,2.333339920993639
156,Tim Burton,40.24348181818182,2.317410931516588
125,Raja Gosnell,39.02705,2.2473630065970913
112,Paul Feig,38.40038,2.211276369883729
7,Andy Tennant,38.00485,2.1884998728131246
43,Dennis Dugan,37.975777777777786,2.186825756098134
124,Quentin Tarantino,37.06625,2.13445082432004
58,Gore Verbinski,36.943,2.127353503601126
122,Peter Segal,36.851683333333334,2.1220950559717915
53,Garry Marshall,35.99001428571428,2.0724760573144807
29,Chris Weitz,34.640080000000005,1.9947404258729207
144,Sam Mendes,34.482949999999995,1.9856921337466487
80,Kenneth Branagh,34.44826666666667,1.9836949025882908
1,Adam Shankman,34.008975,1.9583984007831825
2,Alexander Payne,33.926100000000005,1.9536260644377061
84,Larry Charles,33.4029,1.923497722043095
169,Zack Snyder,33.1491,1.908882711913599
148,Shawn Levy,32.896858333333334,1.894357438023078
69,John Lee Hancock,32.33200000000001,1.8618302108229334
48,Ethan Coen,31.819671428571432,1.8323278969495733
47,Eric Darnell,31.296380000000006,1.8021942896633254
49,F. Gary Gray,31.003400000000003,1.7853231089393704
31,Clint Eastwood,30.896378571428567,1.779160306486082
6,Andy Fickman,30.57228333333333,1.7604973624841778
0,Adam McKay,30.40828333333333,1.75105346310972
113,Paul Greengrass,29.86754285714286,1.7199150567387502
19,Brad Bird,29.363039999999994,1.6908633846839727
59,Gus Van Sant,27.6478,1.5920917141776039
135,Robert Luketic,26.99541666666667,1.5545243815338652
167,Wes Craven,26.0099625,1.497777247459841
153,Steven Soderbergh,25.599193333333336,1.4741232067517327
17,Bobby Farrelly,24.06458888888889,1.3857533899655823
32,D.J. Caruso,23.79634,1.3703063441486514
70,John Madden,22.872999999999998,1.3171360389754094
60,Guy Ritchie,22.5568125,1.2989284601128408
93,Mark Waters,22.38791666666667,1.2892026353886632
90,Malcolm D. Lee,22.19614,1.2781592235449504
71,John Singleton,22.138939999999998,1.2748653757143469
131,Rob Marshall,21.286,1.225749037101848
130,Rob Cohen,21.280109090909093,1.2254098105611249
117,Paul Weitz,20.9348,1.205525272099961
77,Jonathan Liebesman,20.59628333333333,1.1860318737062
146,Scott Derrickson,19.87612,1.1445614465527005
107,Neil Burger,19.592840000000002,1.1282488379258937
55,Gary Winick,18.378349999999998,1.0583127321253756
143,Ron Howard,18.092763636363642,1.041867312119894
136,Robert Rodriguez,18.056154545454543,1.0397591866885776
38,David Fincher,17.6632125,1.0171317163393934
65,Jaume Collet-Serra,17.346642857142857,0.998902131875059
85,Lasse Hallström,16.28645714285714,0.9378516001436463
62,James Mangold,15.298874999999999,0.8809819270878293
13,Barry Sonnenfeld,15.119000000000005,0.870623869770875
75,Jon M. Chu,14.918000000000001,0.859049334561936
82,Kirk Jones,14.88882,0.85736901149031
88,Louis Leterrier,14.073485714285718,0.8104181886193899
159,Timur Bekmambetov,14.042400000000004,0.8086281254626984
76,Jon Turteltaub,13.913166666666664,0.8011862559759556
23,Brian Levant,13.705200000000001,0.7892105469927769
72,John Whitesell,13.185500000000003,0.7592837512311577
20,Brett Ratner,12.599810000000005,0.7255569376663649
73,John Woo,12.554840000000002,0.7229673513561857
119,Peter Cattaneo,11.75852,0.677111461417966
103,Miguel Arteta,11.512050000000002,0.6629185475227066
34,Darren Aronofsky,11.292499999999999,0.6502758151589128
10,Antoine Fuqua,10.953774999999998,0.6307704199417595
33,Danny Boyle,10.728566666666666,0.6178018538546297
141,Roland Emmerich,10.4844375,0.6037437362670068
147,Scott Hicks,10.48332,0.6036793853063303
134,Rob Zombie,10.184059999999999,0.5864465723380365
44,Donald Petrie,9.816950000000004,0.5653066339273227
25,Bryan Singer,9.638199999999998,0.5550133594566865
57,George Clooney,8.423625,0.48507235895222467
165,Wayne Wang,8.364180000000001,0.4816492333527453
42,David R. Ellis,8.3025,0.4780974058319127
81,Kevin Smith,8.0017875,0.4607809510109276
26,Cameron Crowe,7.763250000000002,0.44704482816315533
166,Wes Anderson,7.439614285714285,0.4284083457259907
14,Baz Luhrmann,7.180480000000005,0.41348616207502975
45,Doug Liman,6.762999999999998,0.38944567969180666
51,Frank Coraci,6.68107142857143,0.3847278432011697
110,Nicole Holofcener,5.154525,0.2968220452629617
18,Brad Anderson,4.68374,0.2697120076592789
128,Richard Linklater,4.536675,0.2612433060647386
149,Simon West,4.297685714285715,0.2474811672485241
83,Lana Wachowski,3.9564500000000034,0.22783119317117406
22,Brian Helgeland,3.82564,0.2202985317249983
5,Andrzej Bartkowiak,2.621900000000001,0.15098146201152574
150,Spike Lee,2.434233333333333,0.1401747234996972
123,Phillip Noyce,2.2539166666666683,0.12979123291715097
79,Justin Lin,2.1741400000000026,0.12519731332916542
52,Frank Oz,1.9828000000000017,0.11417904682728303
91,Marc Forster,1.2208333333333325,0.07030138507916808
151,Stephen Frears,1.0109571428571438,0.05821571664043876
39,David Gordon Green,0.9362166666666661,0.05391180483347589
8,Ang Lee,0.3394833333333314,0.019549063654301264
68,Joel Schumacher,-0.0733555555555567,-0.0042241614952689445
127,Richard LaGravenese,-0.09740000000000038,-0.005608754872391265
21,Brian De Palma,-0.39988333333333115,-0.02302718269221122
36,David Ayer,-0.49590000000000145,-0.02855627865727747
61,Harold Ramis,-0.5729199999999992,-0.032991456278135385
101,Michael Polish,-0.5743250000000001,-0.03307236285509344
15,Ben Stiller,-0.8399999999999977,-0.048371191917953096
120,Peter Chelsom,-0.9659999999999975,-0.055626870705646064
168,Woody Allen,-1.552966666666667,-0.08942720080418744
56,Gavin O'Connor,-2.35714,-0.13573532299700505
24,Brian Robbins,-2.361533333333334,-0.13598831200870298
115,Paul Thomas Anderson,-3.7806,-0.2177049144821595
133,Rob Reiner,-4.7185999999999995,-0.2717194121238739
137,Robert Schwentke,-4.822366666666668,-0.27769478991913543
105,Mike Newell,-5.601333333333336,-0.32255139245606607
54,Gary Fleder,-5.6046000000000005,-0.32273950264685797
138,Robert Zemeckis,-5.822637499999997,-0.3352951380728229
104,Mike Leigh,-6.193560000000001,-0.35665461835161716
92,Mark Neveldine,-6.412039999999999,-0.3692357350304676
118,Peter Berg,-6.826633333333331,-0.39310998942876585
155,Taylor Hackford,-7.073240000000001,-0.40731077324017084
87,Les Mayfield,-8.425379999999997,-0.48517342019248166
95,Martin Scorsese,-9.938812500000001,-0.5723240558024435
37,David Cronenberg,-10.441399999999998,-0.6012654324906151
86,Lee Tamahori,-10.575075000000002,-0.6089630742520825
11,Atom Egoyan,-10.915666666666667,-0.6285759610068311
12,Barry Levinson,-10.923587500000002,-0.6290320802322082
102,Michael Winterbottom,-11.276633333333331,-0.6493621370893514
40,David Koepp,-11.398080000000002,-0.6563556133049814
129,Ridley Scott,-12.483835714285714,-0.7188785871522774
94,Martin Campbell,-13.490085714285712,-0.7768232441373254
139,Rod Lurie,-13.82984,-0.7963879105173646
96,McG,-14.95156666666667,-0.8609822627469115
108,Neil Jordan,-16.06844,-0.9252971369787099
4,Andrew Niccol,-16.3404,-0.94095788620967
46,Edward Zwick,-17.06294,-0.9825651731244296
111,Oliver Stone,-17.95653333333333,-1.0340225238664176
126,Renny Harlin,-18.416933333333333,-1.0605345438176388
97,Michael Apted,-18.4401,-1.0618685905788683
140,Roger Donaldson,-18.8272,-1.0841596481877251
114,Paul McGuigan,-20.861185714285718,-1.2012862116925935
116,Paul W.S. Anderson,-23.32534444444444,-1.3431841817554595
99,Michael Mann,-23.743900000000004,-1.3672865997389163
142,Roman Polanski,-24.829125,-1.4297790125355363
132,Rob Minkoff,-25.17696,-1.4498090048459902
162,Tony Scott,-27.406485714285715,-1.5781956908123307
164,Uwe Boll,-31.260733333333334,-1.8001415851936005
152,Stephen Herek,-33.593824999999995,-1.9344920908727796
67,Joe Wright,-47.41325714285714,-2.7302806675147733
