genre,budget_millions,gross_millions,revenue_millions,num_critic_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_users_voted,cast_total_facebook_likes,num_user_reviews,budget,title_year,actor_2_facebook_likes,movie_score,aspect_ratio,movie_facebook_likes
drama,81261.57,73913.31,-6209.27,347842,292129,1957846,1524084,17191700,73913303544,200799112,24965027,661814,81261603413,5041383,4305710,17545.2,5581.29,19963537
action,70988.33,75145.6,5166.41,200489,127634,817217,934576,9558166,75145540469,144076525,14222490,462294,70988319656,2271580,2469812,7194.6,2521.71,12021768
adventure,70050.52,79806.64,10754.36,170053,103293,666312,971035,7236785,79806607293,129228905,11530389,395486,70050519616,1827739,2275537,5945.2,2001.88,12201535
comedy,64605.25,77437.99,12401.97,217038,185033,811064,1167874,11142803,77437971840,119296764,16779205,346038,64605282609,3675682,2722588,11597.5,3705.05,9175000
thriller,50522.92,54908.96,5379.39,230335,152188,1149592,894531,11026777,54908859373,132890677,15660840,454286,50522907494,2770866,2506779,8909.4,3173.63,11603562
sci-fi,49699.56,41862.19,-7382.42,121679,65974,426119,509776,4151725,41862249820,87457411,6548856,289524,49699552291,1199338,1238950,3869.6,1370.5,9186872
fantasy,36929.55,45115.96,8739.04,103995,62825,346319,649863,4579688,45116052975,72135058,7220257,224746,36929544723,1191414,1313782,3847.3,1314.97,6866402
romance,31639.11,39901.68,8802.9,132953,120500,546176,731518,6781679,39901610065,73334736,10235554,254234,31639125548,2181046,1831934,7140.8,2243.24,6516545
crime,28051.47,28274.6,636.7,123211,96238,763948,501259,6842958,28274539845,82189348,9765363,226610,28051466810,1716058,1638040,5836.1,2031.64,6011560
horror,21212.97,13793.82,-7002.21,91101,55345,136341,240690,2613999,13793814984,33802367,3792876,171090,21212974761,1117631,547331,3301.6,1207.14,3641314
documentary,455.54,1103.01,458.17,7870,11245,45749,10630,136014,1103051501,1519151,197367,10283,455554529,238885,31328,868.8,196.64,296902